SubjectAssgn,GenID,ExpAssgn,Vowel,Item,ItemType,RespNum,RespNum2,absRT,logAbsRT
a-i-subject-1,Subject1,a-i,a,a-23-4,diff,0,0,608.84,2.784503177
a-i-subject-1,Subject1,a-i,a,a-23-4,diff,0,0,585.04,2.76718556
a-i-subject-1,Subject1,a-i,a,a-23-4,diff,0,0,439.76,2.643215724
a-i-subject-1,Subject1,a-i,a,a-23-4,diff,1,100,562.51,2.750130248
a-i-subject-1,Subject1,a-i,a,a-23-4,diff,1,100,1287.49,3.109743865
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,1093.17,3.038687705
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,849.85,2.929342279
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,462.96,2.665543469
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,450.64,2.653829738
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,751.69,2.876038773
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,1405.82,3.147929718
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,497.05,2.696400078
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,378.92,2.578547529
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,562.7,2.750276915
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,722.94,2.859102255
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,466.86,2.669186666
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,480,2.681241237
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,722.58,2.858885937
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,389.77,2.590808409
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,364.12,2.561244534
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,647.56,2.811280014
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,608.8,2.784474644
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,522.55,2.718127852
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,0,0,365.61,2.563018066
a-i-subject-1,Subject1,a-i,a,a-23-square,diff,1,100,444.38,2.647754505
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,486.27,2.686877477
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,453.9,2.656960183
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,446.61,2.649928443
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,506.33,2.70443366
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,507.99,2.705855163
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,574.65,2.759403411
a-i-subject-1,Subject1,a-i,a,a-2-square,diff,0,0,500.45,2.699360694
