Subject,Hem,Harm,Cond,Area,LinPwr,dBPwr
r1533,2-rh,1-Fm,2-Zero,2-PosTem,1.69E+17,172.2708934
r1533,2-rh,1-Fm,2-Zero,3-Occ,5.83E+15,157.6600364
r1533,2-rh,1-Fm,3-HalfPi,1-AntTem,3.83E+14,145.8288116
r1533,2-rh,1-Fm,3-HalfPi,2-PosTem,2.53E+16,164.0368662
r1533,2-rh,1-Fm,3-HalfPi,3-Occ,1.96E+15,152.9294242
r1533,2-rh,1-Fm,4-Pi,1-AntTem,9.66E+15,159.8501759
r1533,2-rh,1-Fm,4-Pi,2-PosTem,5.07E+17,177.0476805
r1533,2-rh,1-Fm,4-Pi,3-Occ,3.47E+17,175.3991626
r1533,2-rh,2-SecondHarm,1-Uni,1-AntTem,1.40E+15,151.4680996
r1533,2-rh,2-SecondHarm,1-Uni,2-PosTem,5.72E+15,157.5744917
r1533,2-rh,2-SecondHarm,1-Uni,3-Occ,1.87E+15,152.7279276
r1533,2-rh,2-SecondHarm,2-Zero,1-AntTem,3.38E+15,155.2874963
r1533,2-rh,2-SecondHarm,2-Zero,2-PosTem,2.29E+16,163.5979755
r1533,2-rh,2-SecondHarm,2-Zero,3-Occ,4.36E+15,156.390081
r1533,2-rh,2-SecondHarm,3-HalfPi,1-AntTem,1.94E+16,162.8878561
r1533,2-rh,2-SecondHarm,3-HalfPi,2-PosTem,9.73E+16,169.8803695
r1533,2-rh,2-SecondHarm,3-HalfPi,3-Occ,4.85E+15,156.8593869
r1533,2-rh,2-SecondHarm,4-Pi,1-AntTem,2.12E+15,153.2647924
r1533,2-rh,2-SecondHarm,4-Pi,2-PosTem,3.44E+16,165.3640692
r1533,2-rh,2-SecondHarm,4-Pi,3-Occ,9.31E+14,149.6908494
r1540,1-lh,1-Fm,1-Uni,1-AntTem,2.59E+15,154.1371877
r1540,1-lh,1-Fm,1-Uni,2-PosTem,2.55E+14,144.063528
r1540,1-lh,1-Fm,1-Uni,3-Occ,3.42E+17,175.3365769
